Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Kerdkaew,Chalermpong  Kerdkaew,233034,Chonburi,Nakhon Ratchasima,https://cdn5.wyscout.com/photos/team/public/3639_120x120.png,Thai League,LCB,LCB,91,,0,,0,34.0,1986-10-07,0,,30,2941,0,1.2,1,0.13,7.34,57.92,Thailand,['Thailand'],right,181,75,False,6.95,1.9,53.23,2.94,60.42,0.73,1.02,0.49,5.2,7.21,0.46,3,0.09,0,0.0,0.28,0.0,0,0.0,0.04,0,0.0,8,0.24,25.0,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.24,75.0,0.92,66.67,0.49,0.18,0.0,14.02,0.09,0.67,23.07,85.28,12.03,77.35,0.34,90.91,17.9,92.14,5.17,61.54,25.63,41.2,0.0,0.09,0.0,0.0,0.03,100.0,0.0,4.13,70.37,0.18,50.0,0.21,42.86,0.12,0.0,5.54,76.8,94.67,9.76,0,,0,,0,0.0,0.0,0.0,,,0.28,,2.94,0.09,0.0,0.0,0.0,0,0.0
N. Selanon,Nitipong Selanon,348059,Bangkok United,Port FC,https://cdn5.wyscout.com/photos/team/public/g8068_120x120.png,Thai League,RB,RB,99,,0,,0,28.0,1993-05-26,250000,2024-06-30,30,2922,1,0.33,3,1.8599999999999999,10.63,55.94,Thailand,['Thailand'],right,167,0,False,6.65,5.51,63.13,0.8300000000000001,44.44,0.43,0.65,0.09,2.74,4.12,0.65,2,0.06,0,0.0,1.45,0.03,1,0.03,0.01,0,0.0,10,0.31,20.0,10.0,0.09,1.76,35.09,0.0,0.0,1.72,33.93,0.15,1.23,52.5,3.05,46.46,0.31,0.89,0.55,26.95,1.76,0.8,35.67,85.58,10.6,74.42,4.47,95.17,30.25,92.97,3.76,48.36,19.09,36.62,0.06,0.59,0.06,0.0,0.28,44.44,0.31,4.87,67.09,2.37,45.45,1.05,26.47,0.52,0.65,6.68,79.26,88.56,14.54,0,,0,,0,0.0,0.0,0.0,,,0.15,,0.8300000000000001,0.09,0.0,0.0,0.0,0,0.0
Leandro Assumpção,Leandro Assumpção da Silva,71530, Mahasarakham SBT,Suphanburi,https://cdn5.wyscout.com/photos/team/public/g27102_120x120.png,Thai League 2,"CF, LAMF, LWF",CF,36,LAMF,20,LWF,19,35.0,1986-02-03,0,2025-06-30,29,2868,12,11.29,6,8.12,20.12,44.77,Brazil,['Brazil'],right,176,83,False,2.38,2.98,47.37,2.13,35.29,0.06,0.09,0.03,0.91,1.3,1.19,6,0.19,0,0.0,4.55,0.38,12,0.38,0.35000000000000003,3,0.09,98,3.08,39.8,12.245,0.19,1.29,26.83,0.97,25.81,0.31,30.0,0.22,4.14,54.55,11.36,46.96,3.08,1.73,1.22,13.71,1.88,2.13,20.93,74.21,6.15,62.24,4.33,88.41,18.67,79.16,1.07,38.24,16.46,23.62,0.25,1.76,0.22,0.0,1.4100000000000001,51.11,0.75,2.73,67.82,2.48,54.43,1.47,40.43,1.6,0.38,3.58,84.21,77.4,6.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.13,1.82,0.44,42.86,2.45,2,0.0
P. Sookjitthammakul,Phitiwat Sookjitthammakul,382743,Buriram United,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/4517_120x120.png,Thai League,LCMF,LCMF,61,,0,,0,26.0,1995-02-01,0,,29,2859,0,0.84,4,2.8200000000000003,12.03,49.21,Thailand,['Thailand'],left,173,0,False,6.14,5.29,57.74,0.76,37.5,0.41000000000000003,0.61,0.13,2.68,4.0,1.07,2,0.06,0,0.0,1.76,0.0,0,0.0,0.03,0,0.0,28,0.88,35.71,0.0,0.13,1.1,34.29,0.91,34.48,0.16,40.0,0.06,1.13,63.89,3.84,45.08,0.28,1.35,0.6900000000000001,39.73,0.44,0.72,51.12,86.39,17.57,77.78,5.38,94.15,43.03,92.1,7.11,59.29,19.21,38.04,0.09,0.91,0.03,0.03,0.6900000000000001,50.0,0.28,10.95,77.3,2.61,49.4,1.42,35.56,0.91,0.41000000000000003,10.99,84.53,90.84,19.58,0,,0,,0,0.0,0.0,0.0,,,0.09,,0.76,0.06,0.06,0.0,0.06,0,0.0
Dae-hee Kwon,Dae-hee Kwon,-75140,Nakhon Si United,Police Tero,https://cdn5.wyscout.com/photos/team/public/g27308_120x120.png,Thai League 2,"LCB3, LCB",LCB3,53,LCB,45,,0,31.0,1989-08-16,200000,2024-06-30,29,2847,0,1.88,0,0.01,13.31,59.86,Korea Republic,['Korea Republic'],,188,0,False,8.6,4.58,59.31,4.77,62.91,0.25,0.37,0.63,5.63,8.22,1.1400000000000001,3,0.09,1,0.03,0.63,0.0,0,0.0,0.06,0,0.0,17,0.54,23.53,0.0,0.0,0.25,50.0,0.25,50.0,0.0,0.0,0.06,0.54,58.82,1.49,61.7,0.5700000000000001,0.66,0.0,26.71,0.54,1.33,37.84,84.63,18.56,75.98,1.33,90.48,32.37,91.5,5.25,43.37,22.35,38.93,0.0,0.03,0.0,0.0,0.19,33.33,0.0,6.64,63.81,0.9500000000000001,50.0,0.7000000000000001,36.36,0.54,0.09,9.01,72.98,94.37,14.6,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,4.77,0.16,0.13,25.0,0.0,0,0.0
Alef,Alef Vieira Santos,276825,Chiangmai,Suphanburi,https://cdn5.wyscout.com/photos/team/public/g17675_120x120.png,,LCB,LCB,91,,0,,0,27.0,1993-09-10,200000,,29,2847,1,1.57,0,0.42,17.42,66.79,Brazil,['Brazil'],left,186,80,False,11.95,7.5600000000000005,68.62,5.09,64.6,0.79,1.21,0.92,5.97,9.13,0.7000000000000001,7,0.22,0,0.0,0.92,0.03,1,0.03,0.05,0,0.0,11,0.35000000000000003,54.55,9.091,0.0,0.32,50.0,0.28,44.44,0.03,100.0,0.03,0.7000000000000001,72.73,1.9300000000000002,72.13,0.6000000000000001,0.66,0.16,13.59,0.06,1.33,28.55,77.08,15.68,68.15,1.83,94.83,19.28,87.54,8.98,55.28,27.1,43.58,0.01,0.13,0.0,0.0,0.06,100.0,0.06,6.89,58.26,0.8200000000000001,34.62,0.44,28.57,0.28,0.13,8.54,71.85,88.61,8.88,0,,0,,0,0.0,0.0,0.0,,,1.01,,5.09,0.09,0.0,0.0,0.0,0,0.0
C. Bootprom,Chatchai Bootprom,205444,Prachuap,BG Pathum United FC,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,GK,GK,100,,0,,0,34.0,1987-02-04,150000,2026-06-30,29,2835,0,0.0,0,0.0,0.63,100.0,Thailand,['Thailand'],right,184,74,False,1.56,0.03,100.0,0.38,100.0,0.03,0.05,0.0,1.49,2.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,8.38,0.1,0.13,15.17,87.45,9.17,81.31,0.0,0.0,9.94,96.17,5.21,71.34,33.28,44.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,24.14,0.03,100.0,0.03,0.0,0.03,0.0,3.65,74.78,97.74,5.62,12,0.38,76,2.41,19,84.21,16.85,0.53,4.85,0.154,0.0,1.81,0.38,,,,0.0,0,0.0
S. Tedsungnoen,Siwarak Tedsungnoen,84813,Buriram United,Buriram United,https://cdn5.wyscout.com/photos/team/public/4517_120x120.png,Thai League,GK,GK,100,,0,,0,37.0,1984-04-20,150000,2025-06-30,30,2831,0,0.0,0,0.0,0.22,100.0,Thailand,['Thailand'],right,183,78,False,0.76,0.03,100.0,0.16,100.0,0.0,0.0,0.0,0.73,1.09,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,4.83,0.1,0.06,9.51,89.63,6.23,85.71,0.0,0.0,6.26,99.49,3.21,71.29,32.51,45.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,62.5,0.0,0.0,0.0,0.0,0.0,0.0,2.83,82.02,97.85,2.96,26,0.8300000000000001,110,3.5,13,76.36,28.42,0.9,2.42,0.077,0.0,0.8300000000000001,0.16,,,,0.0,0,0.0
P. Hemviboon,Pansa Hemviboon,331611,Buriram United,Buriram United,https://cdn5.wyscout.com/photos/team/public/4517_120x120.png,Thai League,"LCB3, CB, LCB",LCB3,38,CB,24,LCB,16,31.0,1990-07-08,200000,2025-06-30,29,2813,2,2.85,0,0.2,8.16,58.82,Thailand,['Thailand'],right,191,81,False,6.4,3.2,66.0,3.17,57.58,0.16,0.24,0.51,4.13,6.13,0.8300000000000001,4,0.13,0,0.0,0.26,0.06,2,0.06,0.09,1,0.03,18,0.58,44.44,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,40.0,0.7000000000000001,0.42,0.0,30.49,0.35000000000000003,0.13,42.1,92.4,15.23,82.98,1.44,95.56,38.11,95.8,4.0,60.0,22.21,38.97,0.01,0.03,0.0,0.03,0.03,0.0,0.03,4.74,78.38,0.19,0.0,0.19,33.33,0.1,0.0,6.17,78.76,98.42,22.27,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.17,0.0,0.0,0.0,0.0,0,0.0
E. Amantegui,Ernesto Amantegui Phumipha,151876,,Samut Prakan City,,,LB,LB,100,,0,,0,31.0,1990-04-16,125000,,30,2811,0,0.35000000000000003,4,1.9,12.81,54.25,Spain,"['Spain', 'Thailand']",left,180,68,False,8.61,6.24,57.95,1.8900000000000001,52.54,0.26,0.38,0.38,4.74,6.94,0.86,3,0.1,0,0.0,2.31,0.0,0,0.0,0.01,0,0.0,8,0.26,37.5,0.0,0.13,2.98,35.48,2.98,35.48,0.0,0.0,0.45,1.4100000000000001,68.18,2.5,55.13,0.64,1.12,0.54,30.26,2.43,0.7000000000000001,41.11,78.5,19.21,71.0,4.29,97.76,32.18,88.06,6.24,47.69,22.16,38.0,0.06,0.7000000000000001,0.03,0.0,0.38,50.0,0.45,7.49,65.81,2.91,43.96,0.8,40.0,0.54,1.06,11.24,77.21,83.95,12.97,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.8900000000000001,0.06,0.0,0.0,0.0,0,0.0
